No,carat,cut,color,clarity,depth,table,price,x,y,z
1,0.23,Ideal,E,SI2,61.5,55,326,3.95,3.98,2.43
2,0.21,Premium,E,SI1,59.8,61,326,3.89,3.84,2.31
3,0.29,Premium,I,VS2,62.4,58,334,4.2,4.23,2.63
4,0.31,Good,J,SI2,63.3,58,335,4.34,4.35,2.75
5,0.24,Very Good,J,VVS2,62.8,57,336,3.94,3.96,2.48
6,0.24,Very Good,I,VVS1,62.3,57,336,3.95,3.98,2.47
7,0.26,Very Good,H,SI1,61.9,55,337,4.07,4.11,2.53
8,0.23,Very Good,H,VS1,59.4,61,338,4,4.05,2.39
9,0.3,Good,J,SI1,64,55,339,4.25,4.28,2.73
10,0.23,Ideal,J,VS1,62.8,56,340,3.93,3.9,2.46
11,0.22,Premium,F,SI1,NA,61,342,NA,3.84,2.33
12,0.31,Ideal,J,SI2,62.2,54,344,4.35,4.37,2.71
13,0.3,Ideal,I,SI2,62,54,348,4.31,4.34,2.68
14,0.3,Good,J,SI1,63.4,54,351,4.23,4.29,2.7
15,0.3,Good,J,SI1,63.8,56,351,4.23,4.26,2.71
16,0.33,Ideal,I,SI2,61.8,55,403,4.49,4.51,2.78
17,2.1,Fair,G,SI2,61.4,66,11946,8.26,8.19,5.05
18,1.91,Fair,I,VS1,59.5,68,12244,8.1,7.91,4.78
19,2.01,Fair,G,SI2,56.2,63,12450,8.28,8.23,4.64
20,2.58,Fair,F,SI2,65.2,59,12500,8.58,8.51,5.57
21,2.22,Fair,G,SI2,64.4,58,12508,8.32,8.15,5.3
22,2.05,Very Good,G,SI1,63.4,58,12515,8.03,7.96,5.07
23,1.5,Very Good,F,VS2,61.3,58,12526,7.24,7.29,4.45
24,2,Fair,H,SI2,65.9,58,12554,7.84,7.8,5.15
25,1.5,Fair,D,VS2,65.4,53,12606,7.12,7.1,4.65
26,2,Fair,F,SI2,59.8,68,12610,8.13,7.95,4.81
27,2.01,Fair,H,SI2,65.9,57,12617,7.8,7.74,5.12
28,2,Fair,H,VS2,65.2,56,12765,7.92,7.87,5.15
29,1.98,Fair,H,VS1,58.3,69,12923,8.28,8.17,4.8
30,2.5,Fair,H,SI2,64.9,58,13278,8.46,8.43,5.48
31,2.5,Fair,H,SI2,64.9,58,13278,8.46,8.43,5.48
32,2.13,Fair,H,SI2,64.5,58,13370,8.09,8.01,5.19
33,2,Fair,H,SI1,65.1,59,13442,7.83,7.77,5.08
34,2.02,Fair,H,SI1,66.3,57,13502,7.71,7.79,5.14
35,2.01,Fair,H,SI2,65.8,63,13587,7.77,7.68,5.08
36,2.01,Fair,H,SI2,61.2,66,13587,8.21,8.09,4.98
37,2,Fair,H,SI1,61.2,50,13764,8.17,8.08,4.97
38,2.52,Fair,H,SI2,65.4,59,13846,8.49,8.42,5.53
39,2.02,Fair,H,SI2,56.5,61,14080,8.33,8.37,4.72
40,2,Fair,H,VS1,66,56,14199,7.79,7.72,5.12
41,2,Fair,H,SI1,65.1,56,14430,7.86,7.77,5.09
42,2.03,Fair,H,SI1,65.4,58,14646,7.91,7.88,5.16
43,2.02,Fair,H,SI1,56.2,61,15695,8.8,8.33,4.81
44,2,Fair,H,SI1,65.6,58,15762,7.92,7.76,5.15
45,2.01,Fair,H,VS2,66.1,53,NA,7.82,7.92,5.2
46,2.53,Fair,H,SI2,64.6,59,17103,8.54,8.45,5.4
47,4.13,Fair,H,I1,64.8,61,17329,10,9.85,6.43
48,1.99,Fair,H,VS2,NA,63,17713,NA,8.11,4.93
49,2.32,Fair,H,SI1,62,62,18026,8.47,8.31,5.2
50,2.51,Fair,H,SI2,64.7,57,18308,8.44,8.5,5.48
51,2.02,Fair,H,VS2,64.5,57,18565,8,7.95,5.14
52,0.41,Fair,H,SI1,65.4,61,659,4.51,4.63,2.99
53,0.4,Fair,H,VS2,65.1,59,704,4.58,4.63,3
54,0.32,Premium,H,VS1,61.7,58,720,4.44,4.38,2.72
55,0.25,Very Good,H,VVS1,60.1,62,450,4.08,4.11,2.46
56,0.4,Very Good,H,VS1,61.8,53,770,4.76,4.78,2.95
57,0.42,Very Good,H,VS2,62.9,56,773,4.72,4.79,2.99
58,0.42,Very Good,H,VS2,62.1,57,773,4.76,4.8,2.97
59,0.37,Very Good,H,VVS1,61.9,55,774,4.6,4.66,2.86
60,0.34,Very Good,H,VVS1,62.9,57,775,4.44,4.47,2.8
61,0.3,Very Good,H,VVS2,63.1,60,776,4.28,4.24,2.69
62,0.3,Very Good,H,VVS2,63.5,55,776,4.28,4.25,2.71
63,0.3,Very Good,H,VVS2,63.4,57,776,4.24,4.21,2.68
64,0.41,Very Good,H,SI1,58.1,61,778,4.91,4.97,2.87
65,0.31,Very Good,H,IF,61.3,55,778,4.37,4.4,2.69
66,0.39,Very Good,H,VVS2,62.4,57,784,4.67,4.7,2.92
67,0.33,Very Good,H,IF,62.9,58,787,4.38,4.43,2.77
68,0.33,Very Good,H,IF,61.7,59,787,4.43,4.45,2.74
69,0.39,Very Good,H,VS1,61.7,57,787,4.65,4.68,2.88
70,0.41,Very Good,H,VS1,61.5,55,788,4.8,4.82,2.96
71,0.35,Very Good,H,VS1,60.8,63,788,4.57,4.54,2.77
72,0.3,Very Good,H,IF,62.9,58,789,4.26,4.29,2.69
73,0.43,Very Good,H,VS2,61.9,55,792,4.8,4.95,3.02
74,0.33,Very Good,H,IF,61.7,55,795,4.45,4.48,2.75
75,0.35,Very Good,H,VVS1,62.6,57,798,4.45,4.47,2.79
76,0.35,Very Good,H,VVS1,61.2,60,798,4.5,4.55,2.77
77,0.3,Very Good,H,VS2,62.6,57,457,4.25,4.28,2.67
78,0.31,Very Good,H,VS2,58.9,61,457,4.43,4.46,2.62
79,0.31,Very Good,H,VVS2,63.4,56,802,4.32,4.29,2.73
80,0.4,Very Good,H,VS1,62.7,56,807,4.71,4.73,2.96
81,0.4,Very Good,H,VS1,62.6,58,807,4.68,4.71,2.94
82,0.32,Very Good,H,SI1,63,59,461,4.33,4.37,2.74
83,0.32,Very Good,H,SI1,62.6,55,461,4.37,4.38,2.74
84,0.38,Very Good,H,SI1,63.3,57,812,4.62,4.58,2.91
85,0.4,Very Good,H,VS1,61.3,59,818,4.79,4.74,2.92
86,0.3,Very Good,H,VVS1,63.1,54,819,4.34,4.28,2.72
87,0.32,Very Good,H,SI1,61.8,56,461,4.4,4.43,2.73
88,0.41,Very Good,H,VS1,62,56,827,4.74,4.78,2.95
89,0.41,Very Good,H,VS1,62.8,59,827,4.73,4.64,2.94
90,0.32,Very Good,H,VVS2,63.4,56,828,4.37,4.34,2.76
91,0.46,Fair,H,VS2,65.6,58,830,4.8,4.84,3.16
92,0.33,Very Good,H,SI1,63,56,463,4.41,4.42,2.78
93,0.33,Very Good,H,IF,61.2,56,838,4.46,4.5,2.74
94,0.41,Very Good,H,VVS2,61.3,54,839,4.75,4.87,2.95
95,0.42,Very Good,H,VS2,59,57,843,4.92,4.95,2.91
96,0.41,Very Good,H,VVS2,63.1,58,847,4.71,4.74,2.98
97,0.39,Very Good,H,VVS2,62.1,58,855,4.63,4.65,2.88
